,cluster_num,instance_count,rule_list
0,0,4259,"[0.9306447469817621] (PURCHASES_INSTALLMENTS_FREQUENCY <= 0.2838282287120819) and (CASH_ADVANCE <= 0.7277522385120392) and (PRC_FULL_PAYMENT <= 1.2615466117858887) and (CASH_ADVANCE_TRX <= 1.0624582171440125) and (BALANCE <= 1.6174421906471252)

"
3,1,572,"[0.7169042769857433] (PURCHASES_INSTALLMENTS_FREQUENCY > 0.2838282287120819) and (PURCHASES_TRX > 1.479998528957367)

"
2,2,1256,"[0.5658914728682171] (PURCHASES_INSTALLMENTS_FREQUENCY <= 0.2838282287120819) and (CASH_ADVANCE <= 0.7277522385120392) and (PRC_FULL_PAYMENT <= 1.2615466117858887) and (CASH_ADVANCE_TRX <= 1.0624582171440125) and (BALANCE > 1.6174421906471252)

[0.684931506849315] (PURCHASES_INSTALLMENTS_FREQUENCY <= 0.2838282287120819) and (CASH_ADVANCE <= 0.7277522385120392) and (PRC_FULL_PAYMENT <= 1.2615466117858887) and (CASH_ADVANCE_TRX > 1.0624582171440125)

[0.7669172932330827] (PURCHASES_INSTALLMENTS_FREQUENCY <= 0.2838282287120819) and (CASH_ADVANCE > 0.7277522385120392)

[0.7530864197530864] (PURCHASES_INSTALLMENTS_FREQUENCY > 0.2838282287120819) and (PURCHASES_TRX <= 1.479998528957367) and (CASH_ADVANCE > 0.48352572321891785)

"
1,3,2862,"[0.7108753315649867] (PURCHASES_INSTALLMENTS_FREQUENCY <= 0.2838282287120819) and (CASH_ADVANCE <= 0.7277522385120392) and (PRC_FULL_PAYMENT > 1.2615466117858887)

[0.8589647411852963] (PURCHASES_INSTALLMENTS_FREQUENCY > 0.2838282287120819) and (PURCHASES_TRX <= 1.479998528957367) and (CASH_ADVANCE <= 0.48352572321891785)

"
