,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
count,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0
mean,-2.5404879937791292e-17,1.5878049961119558e-16,3.1756099922239115e-18,-6.033658985225432e-17,3.175609992223911e-17,-4.763414988335867e-18,9.010793352935349e-17,1.905365995334347e-17,5.716097986003041e-17,-1.6354391459953143e-16,-1.7465854957231512e-17,-1.905365995334347e-17,6.351219984447822e-17,3.4931709914463025e-17,-1.905365995334347e-17,-1.2702439968895646e-17,2.9215611928459985e-16
std,1.0000558706037255,1.0000558706037252,1.0000558706037255,1.0000558706037255,1.0000558706037255,1.0000558706037257,1.0000558706037257,1.0000558706037255,1.0000558706037255,1.0000558706037255,1.0000558706037255,1.0000558706037255,1.0000558706037257,1.0000558706037255,1.0000558706037257,1.0000558706037255,1.0000558706037255
min,-0.7516398145387575,-3.7032710688263415,-0.4695518820955651,-0.3569340222066546,-0.4545762302747729,-0.4667855542850508,-1.2217580572960502,-0.6786608078479125,-0.9169951914991048,-0.675348857882429,-0.47606981743568183,-0.5917958767710622,-1.2350354546185824,-0.5986882602099772,-0.3570349520257533,-0.5255509710834134,-4.12276756834523
25%,-0.6900077617442744,0.04904485952849855,-0.45100064686918995,-0.3569340222066546,-0.4545762302747729,-0.4667855542850508,-1.0141254472683061,-0.6786608078479125,-0.9169951914991048,-0.675348857882429,-0.47606981743568183,-0.5515645634162506,-0.7953202987695336,-0.4662913211247348,-0.28724129796469783,-0.5255509710834134,0.36067954425377496
50%,-0.33202864442870544,0.5180838229034924,-0.3004541083454754,-0.3340396311554797,-0.35615621347998094,-0.4667855542850508,0.02404258607298729,-0.39931926791903927,-0.49762862240498035,-0.675348857882429,-0.47606981743568183,-0.31017668328738124,-0.41056953740161595,-0.30268461622703247,-0.23304272844075855,-0.5255509710834134,0.36067954425377496
75%,0.23525585677819758,0.5180838229034924,0.05004652239177728,-0.009056762603927031,0.0636632149012868,0.06435241805710015,1.0622106194142809,0.32697275843029633,0.9701505951328818,0.4351492139853618,0.11007385158785597,0.09213645026073436,0.5513073660181782,0.05802975843043495,-0.019380426829461832,-0.03712234171855391,0.36067954425377496
max,8.397488622840845,0.5180838229034924,22.48350976721158,24.20106590502237,24.4268886897569,22.011117040495495,1.2698432294420248,2.673451079746117,1.5991991906768772,6.820520623094642,17.547848005038105,13.811014304251477,7.009623717551081,16.92227896509633,32.35307042550657,2.8934528534744284,0.36067954425377496
