,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
count,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0
mean,2379.7360737845306,0.9329678093922652,6252.375635359116,4193.304889502762,2060.7889779005527,779.8610878176794,0.8731360635359117,0.6690021878453039,0.6756585331491712,0.07971284530386741,2.3756906077348066,71.17955801104972,8351.657458563535,7437.812862389503,1143.797961146409,0.3299994502762431,11.947513812154696
std,2330.297451629057,0.18134061007985094,3163.6163851949514,2806.390712713396,2532.6315608691657,1765.809437802779,0.252453613385378,0.3232901129912631,0.3818865463969093,0.1627968032518377,6.495876825088815,55.35824723242428,3800.2000988010614,4594.886193270247,1649.8110097623926,0.3928272864091519,0.37217174434381806
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,8.0
25%,639.58085825,1.0,4447.7775,2307.6875,393.58,0.0,0.8472219999999999,0.5,0.416667,0.0,0.0,34.25,5775.0,4591.01307225,222.24902824999998,0.0,12.0
50%,1502.557626,1.0,5733.965,3810.0950000000003,1382.5549999999998,0.0,1.0,0.75,0.833333,0.0,0.0,61.0,7500.0,6197.0372035,555.6309610000001,0.083333,12.0
75%,3322.7980705,1.0,8127.0075,5851.1900000000005,2799.7625,475.20808025,1.0,1.0,1.0,0.083333,1.0,95.5,10500.0,8745.25349775,1270.546008,0.75,12.0
max,13763.473580000002,1.0,22500.0,14215.0,22500.0,14048.07181,1.0,1.0,1.0,0.916667,62.0,347.0,23000.0,34107.07499,11652.56511,1.0,12.0
