,BALANCE,BALANCE_FREQUENCY,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,CLUSTER_NUM
count,5774.0,5774.0,5774.0,5774.0,5774.0,5774.0,5774.0,5774.0,5774.0,5774.0,5774.0,5774.0,5774.0,5774.0,5774.0,5774.0
mean,-0.32652525697305784,-0.11869014909242524,-0.19766538562309513,-0.16517016067271748,-0.29747971086460656,-0.2311614075920541,-0.06284504487151031,-0.32052191653850587,-0.28219309794312514,-0.23332901358915345,-0.2926567906041946,-0.25663524892343326,-0.11951497651921653,-0.023683895141960377,0.2874570876561863,1.0
std,0.49778807936139685,1.105473749207483,0.30493781854130675,0.4614507336498453,0.3424201650483767,0.7461650737372275,0.9670868789686504,0.5521677450842962,0.3429371178211931,0.39298629476145697,0.7355475312873,0.4172177963254298,0.5520571303888605,0.960594672065333,0.2792838421781817,0.0
min,-0.7517021172809357,-3.7031049205925632,-0.35695650522983663,-0.4545929346871266,-0.4668173169053085,-0.6787161910923751,-0.9170486291668528,-0.6754038016160128,-0.4761024446698088,-0.5918285957742453,-1.1939142616027372,-0.5987232806358613,-0.35704998957021983,-0.5255884449323432,-1.1337074225244599,1.0
25%,-0.7195398824097533,-0.2494492840006068,-0.35695650522983663,-0.4545929346871266,-0.4668173169053085,-0.6787161910923751,-0.9170486291668528,-0.6754038016160128,-0.4761024446698088,-0.5515989423452268,-0.8229062133737927,-0.4856476487966046,-0.2930039071235198,-0.5255884449323432,0.3607023173741107,1.0
50%,-0.5084668273129609,0.5180288083234439,-0.35695650522983663,-0.37280880736757604,-0.4668173169053085,-0.6787161910923751,-0.4976937668917719,-0.6754038016160128,-0.4761024446698088,-0.350450675200134,-0.5480854369079079,-0.3837127096874762,-0.2624239772864058,-0.5255884449323432,0.3607023173741107,1.0
75%,-0.09726407134473639,0.5180288083234439,-0.16610491116926032,-0.04251803601285893,-0.2924929152825716,-0.12004659474601245,0.7603683038093294,-0.25898092731103994,-0.1830432723102037,-0.10907275462602267,0.0015561160238618376,-0.17771127047545812,-0.12896670623426182,-0.09823024816695924,0.3607023173741107,1.0
max,3.147004428179605,0.5180288083234439,2.5950710552891945,3.765096490020894,3.2976357206575253,2.6732946829640527,1.5990755122353495,2.6559941841072088,2.8940780374656505,2.58631402511822,5.085740480642731,7.3979689272314415,10.935395193827226,2.8932771291907287,0.3607023173741107,1.0
