,BALANCE,BALANCE_FREQUENCY,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
count,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0
mean,8552.78998997491,0.9929944659498208,1185.35688172043,754.2177419354839,3717.3214903763446,0.2611002150537634,0.3768672652329749,0.3298812580645161,9.121863799283155,26.688172043010752,12631.182795698925,3075.9027143978496,3057.875228096774,0.0,11.799283154121865
std,2320.663761860345,0.045339496828798,2107.558525592027,1523.864309846051,3108.7854031984725,0.3265635369966453,0.4121777408765481,0.26724806593399014,10.755265839408466,43.6317104244175,2863.208512220364,1949.5026581151308,1908.4037294236625,0.0,0.8951505171267665
min,3649.559565,0.545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,0.0,0.0,0.0,6.0
25%,6986.6231525,1.0,0.0,0.0,939.5544255,0.0,0.0,0.083333,2.0,0.0,10500.0,1918.4646555,1864.195336,0.0,12.0
50%,8073.052656,1.0,202.69,100.0,3330.3261620000007,0.083333,0.166667,0.25,7.0,7.0,12000.0,2373.476104,2529.594963,0.0,12.0
75%,9384.434552499999,1.0,1460.35,959.615,5311.436064000001,0.5,0.833333,0.5,12.5,36.0,14250.0,3515.8213215000005,3418.4433765000003,0.0,12.0
max,18495.55855,1.0,14215.0,14686.1,14827.30716,1.0,1.0,1.1,93.0,347.0,22000.0,11717.30794,12854.9397,0.0,12.0
