,BALANCE,BALANCE_FREQUENCY,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,CLUSTER_NUM
count,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0
mean,1.381957096100298,0.39190431590945063,-0.1638915305782106,-0.23782606477170315,1.548017533177678,-0.23958979510031211,-0.4449856304448262,1.6318494172315499,1.524310984327115,-0.291316455003633,0.772049452256051,0.5963265711151186,0.5554195182320846,-0.40751022272185156,0.12737863368849991,2.0
std,1.3026242349359722,0.4079736503590693,0.5343687648896709,0.5461823708215167,1.7151512051667137,0.7417930296077382,0.7969784480122846,1.126679777110113,1.7712812053192988,0.5339921038632666,1.0167846549512711,1.4783489405221433,1.9760111021443287,0.344149807799971,0.6922081110588857,0.0
min,-0.7339362072543939,-2.935626828268512,-0.35695650522983663,-0.4545929346871266,-0.4668173169053085,-0.6787161910923751,-0.9170486291668528,-0.6754038016160128,-0.4761024446698088,-0.5918285957742453,-1.2213963392493257,-0.5987232806358613,-0.35704998957021983,-0.5255884449323432,-4.122526902321602,2.0
25%,0.38850589193310575,0.5180288083234439,-0.35695650522983663,-0.4545929346871266,0.5055717784986321,-0.6787161910923751,-0.9170486291668528,0.8237245423952653,0.5496046585888092,-0.5918285957742453,0.0015561160238618376,-0.19773809659129546,-0.04583524253676501,-0.5255884449323432,0.3607023173741107,2.0
50%,1.2063088371710464,0.5180288083234439,-0.35695650522983663,-0.4545929346871266,1.1471785564686867,-0.6787161910923751,-0.9170486291668528,1.4067205640978109,1.1357230033080197,-0.5515989423452268,0.6886080571885739,0.06005310830367886,0.19164524506105046,-0.5255884449323432,0.3607023173741107,2.0
75%,2.118896355960429,0.5180288083234439,-0.17152097806090644,-0.29591226580725216,2.05651135934646,-0.12004659474601245,-0.16221138674619207,2.2395663127077565,2.014900520386835,-0.1895320614840598,1.3756599983532858,0.7907118400900053,0.5089052068590239,-0.5255884449323432,0.3607023173741107,2.0
max,7.081652513832637,0.5180288083234439,12.958362616510634,8.103636077036988,22.01010312786165,2.6732946829640527,1.5990755122353495,6.820237918440378,17.54703665544591,3.592055360843684,4.151349840658723,13.03226590619478,32.35138949467261,2.8932771291907287,0.3607023173741107,2.0
