,BALANCE,BALANCE_FREQUENCY,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,CLUSTER_NUM
count,2862.0,2862.0,2862.0,2862.0,2862.0,2862.0,2862.0,2862.0,2862.0,2862.0,2862.0,2862.0,2862.0,2862.0,2862.0,2862.0
mean,-0.4246674308321706,0.13715771575320249,-0.08637879063236202,0.2860073604026553,-0.4026846207822623,0.0651387619718931,0.9888881525712305,-0.5341522816182636,-0.3985369928660347,0.23782718142385456,-0.13738551117356382,-0.18056031516841053,-0.10413411401654367,0.6125113334383379,0.07403881380866162,3.0
std,0.47756454853782276,0.8022851918141464,0.4370530904203164,0.6714111432341598,0.21068676803570457,1.0398276638832913,0.6825401849962863,0.3836317286754115,0.23075103240376452,0.5727840995151021,0.8549921386990588,0.39215907376568204,0.7844015398265706,1.2947768474329846,0.9086354749341135,0.0
min,-0.7517021172809357,-3.7031049205925632,-0.35695650522983663,-0.4545929346871266,-0.4668173169053085,-0.6787161910923751,-0.9170486291668528,-0.6754038016160128,-0.4761024446698088,-0.5918285957742453,-1.1526911451328543,-0.5987232806358613,-0.35704998957021983,-0.5255884449323432,-4.122526902321602,3.0
25%,-0.725135758251759,0.13428976216141855,-0.35695650522983663,-0.16776518556462883,-0.4668173169053085,-0.6787161910923751,0.5506896146097182,-0.6754038016160128,-0.4761024446698088,-0.14930240805504125,-0.8229062133737927,-0.45391774882842717,-0.29417818500725534,-0.5255884449323432,0.3607023173741107,3.0
50%,-0.6514630664239203,0.5180288083234439,-0.3336415120477782,0.0761856093013036,-0.4668173169053085,-0.3993830689246308,1.1797206499602688,-0.6754038016160128,-0.4761024446698088,0.0518458590900515,-0.4106750486749654,-0.29811940313887564,-0.28026661865429664,-0.03717956560984359,0.3607023173741107,3.0
75%,-0.2677069629234805,0.5180288083234439,0.04846682679469061,0.5330228318519289,-0.4668173169053085,0.4386196495894761,1.5990755122353495,-0.6754038016160128,-0.4761024446698088,0.4943720468092556,0.4137872807226891,-0.02586373365640239,-0.18213137323041723,1.7536564107715633,0.3607023173741107,3.0
max,2.6074458925501256,0.5180288083234439,2.6793966262373274,4.564404745722136,1.55123537737463,2.6732946829640527,1.5990755122353495,2.6559941841072088,1.5753117618474273,3.8736629348468137,4.261278151245077,3.5532985841883935,16.129457368086864,2.8932771291907287,0.3607023173741107,3.0
