,BALANCE,BALANCE_FREQUENCY,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,CLUSTER_NUM
count,4259.0,4259.0,4259.0,4259.0,4259.0,4259.0,4259.0,4259.0,4259.0,4259.0,4259.0,4259.0,4259.0,4259.0,4259.0,4259.0
mean,-0.23457261536103416,-0.2667124582788582,-0.1887193793604012,-0.3822520034311524,-0.18923843310823235,-0.2268693146928799,-0.6816805942847028,-0.10619636514152506,-0.17055436886261774,-0.4279723388986443,-0.32409134022757086,-0.26206777380976193,-0.11886168517764445,-0.3498242205888887,-0.06755010984969899,0.0
std,0.5460069923863503,1.2070373774277048,0.3392879847449601,0.17656724201150611,0.4299312541623465,0.7503378107948908,0.4366638504964616,0.6792593960102028,0.4239514099531567,0.23321399848403052,0.729025389899872,0.4856269279094706,0.5599922413282438,0.5026716573095529,1.0751568997255265,0.0
min,-0.7517021172809357,-3.7031049205925632,-0.35695650522983663,-0.4545929346871266,-0.4668173169053085,-0.6787161910923751,-0.9170486291668528,-0.6754038016160128,-0.4761024446698088,-0.5918285957742453,-1.2351373780726203,-0.5987232806358613,-0.35704998957021983,-0.5255884449323432,-4.122526902321602,0.0
25%,-0.6882668647204417,-0.8890143609373153,-0.35695650522983663,-0.4545929346871266,-0.4668173169053085,-0.6787161910923751,-0.9170486291668528,-0.6754038016160128,-0.4761024446698088,-0.5918285957742453,-0.8229062133737927,-0.5023974642416534,-0.29671922404152656,-0.5255884449323432,0.3607023173741107,0.0
50%,-0.3506445470091628,0.5180288083234439,-0.35695650522983663,-0.4545929346871266,-0.414883595785468,-0.6787161910923751,-0.9170486291668528,-0.25898092731103994,-0.3295728584900063,-0.5113692889162081,-0.5480854369079079,-0.4070678169583012,-0.23814319564262906,-0.5255884449323432,0.3607023173741107,0.0
75%,0.002709609429762184,0.5180288083234439,-0.16417103188981827,-0.39133076697550556,-0.026981925095535528,-0.12004659474601245,-0.6654362150266326,0.1574469440884129,-0.03651368613040111,-0.350450675200134,-0.11524271397413922,-0.21619486641631194,-0.11099624840094685,-0.5255884449323432,0.3607023173741107,0.0
max,3.147004428179605,0.5180288083234439,3.5710475140730376,2.8627729652405622,3.2976357206575253,2.6732946829640527,1.5990755122353495,3.6078207522868504,2.8940780374656505,1.5805726893927563,5.085740480642731,7.3979689272314415,11.836237011063288,2.8932771291907287,0.3607023173741107,0.0
