,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
count,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0
mean,969.881872907489,0.8729709662261381,1115.2591042584436,656.2880396475771,459.216255506608,271.5918184111601,0.6035448355359766,0.3310676328928047,0.4091635785609398,0.054156393538913356,1.0308370044052864,17.67180616740088,7733.667067146842,1384.3924038612336,347.9010051013216,0.23261791189427314,11.797356828193832
std,1209.2431920260185,0.2366634630975881,1088.1638000369612,814.9088729805943,638.207231359583,694.9434675524218,0.3758570893365653,0.3507508767400833,0.3968326198528303,0.127473530026905,3.043971752615933,21.36592591306489,1708.3042370061096,1210.0830699353044,411.17894102570875,0.3418726043401138,0.8302113629152024
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,6.0
25%,82.14304075,0.818182,262.98,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,3.25,6500.0,558.2956697500001,149.9023145,0.0,12.0
50%,337.96985,1.0,783.215,349.735,199.91,0.0,0.666667,0.166667,0.333333,0.0,0.0,12.0,7500.0,1009.8138160000001,193.3497115,0.0,12.0
75%,1616.8692237500002,1.0,1677.2775000000001,1013.2025,667.66,0.0,1.0,0.583333,0.833333,0.0,0.0,25.0,8500.0,1895.4712745,429.03475975000003,0.4,12.0
max,5901.592192,1.0,5671.86,4674.21,3927.12,5291.769326,1.0,1.0,1.0,0.916667,44.0,232.0,13500.0,7684.307278,5583.6304820000005,1.0,12.0
