,BALANCE,BALANCE_FREQUENCY,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
count,1558.0,1558.0,1558.0,1558.0,1558.0,1558.0,1558.0,1558.0,1558.0,1558.0,1558.0,1558.0,1558.0,1558.0,1558.0
mean,776.4452386912709,0.8661742284980745,789.1025994865213,554.2401540436457,201.8459096848524,0.3289991713735559,0.44431326700898593,0.043517313222079586,0.8504492939666238,20.250320924261874,6462.76403314249,1508.7925680706032,292.3565913267009,0.2498708973042362,11.833761232349165
std,915.3951777541657,0.2438758392504333,1105.730844810655,794.6015021398654,565.1327057366874,0.35282247277593576,0.402133150967436,0.1123140311261887,2.894877841478017,24.74165001046921,1312.669963421307,1406.0180337570528,334.3320002946722,0.35201462569543357,0.7491995982433425
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,6.0
25%,79.509148,0.818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5500.0,512.99015375,147.312702,0.0,12.0
50%,330.91117099999997,1.0,358.32,243.91,0.0,0.166667,0.416667,0.0,0.0,12.0,6500.0,1037.241773,188.7882085,0.0,12.0
75%,1306.5222975,1.0,1097.15,799.0899999999999,0.0,0.583333,0.916667,0.0,0.0,27.0,7500.0,2077.65463275,357.735641,0.454545,12.0
max,4014.388265,1.0,8269.36,6271.02,4034.656192,1.0,1.0,0.916667,44.0,232.0,9600.0,7069.804042,5583.630482000001,1.0,12.0
